1.5 qid:4 1:0.0 2:0.0 3:0.0 4:0.245005790288 5:0.0 6:0.0 7:0.13770999495 8:0.0 9:0.236519433903 10:0.239495961259 11:0.0 12:0.140352673198 13:0.284143167801 14:0.0 15:0.260918537638 16:0.252878135764 17:0.0 18:0.147189717831 19:0.668065045663 20:0.0 21:0.0 22:0.0 23:0.0 24:0.183942383077 25:0.0 26:0.194616050828 27:0.0 28:0.188574623495 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00465615149888 64:0.4190536349 65:0.0 66:0.907949542282 67:0.998617829333 68:0.0525588331228 69:0.727849274974 70:0.685737145647 71:1.0
2.0 qid:4 1:0.0 2:0.120255122531 3:0.137536825355 4:0.209558089676 5:0.0 6:0.167226228405 7:0.117785965128 8:0.0 9:0.404599096876 10:0.204845428623 11:0.0 12:0.120046297852 13:0.405055049032 14:0.134456424316 15:0.0 16:0.432582911524 17:0.0 18:0.125894151531 19:0.380939118715 20:0.0 21:0.0 22:0.0 23:0.0 24:0.235994102605 25:0.0 26:0.0 27:0.209310006546 28:0.0 29:0.176217064271 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00437077297967 64:0.66435749291 65:0.0 66:0.747402179524 67:0.998617829333 68:0.0525588331228 69:0.754159828895 70:0.656690910917 71:1.0
3.0 qid:4 1:0.0 2:0.301459918144 3:0.344782319793 4:0.262663923292 5:0.0 6:0.0 7:0.295270144494 8:0.0 9:0.0 10:0.256756988164 11:0.0 12:0.300936428836 13:0.406162695957 14:0.0 15:0.0 16:0.0 17:0.0 18:0.315596041287 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.197199535333 25:0.0 26:0.417284957927 27:0.0 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0312347523777 64:0.999512076087 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.697316701364 70:0.716763153349 71:1.0
2.5 qid:4 1:0.0 2:0.0 3:0.0 4:0.228708889721 5:0.0 6:0.0 7:0.257100046587 8:0.0 9:0.0 10:0.447131109252 11:0.0 12:0.262033840251 13:0.353657320252 14:0.293487877932 15:0.0 16:0.0 17:0.0 18:0.274798378469 19:0.415751847267 20:0.0 21:0.0 22:0.0 23:0.0 24:0.171707199885 25:0.0 26:0.0 27:0.0 28:0.352062640793 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0129153269952 64:0.581189714784 65:0.0 66:0.813665600697 67:0.998617829333 68:0.0525588331228 69:0.713331568036 70:0.70082670757 71:1.0
1.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.189668691155 5:0.0 6:0.151354595365 7:0.106606764152 8:0.172391875131 9:0.366198132774 10:0.278104971247 11:0.0 12:0.108652566106 13:0.513255133983 14:0.243390021897 15:0.0 16:0.391525971493 17:0.122151981374 18:0.0 19:0.344783750263 20:0.0 21:0.0 22:0.0 23:0.0 24:0.142397087861 25:0.0 26:0.0 27:0.0 28:0.145983088732 29:0.159492100692 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00555546982366 64:0.999984568258 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.734738800776 70:0.678350126877 71:1.0
4.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.451133875441 8:0.0 9:0.0 10:0.392290847133 11:0.0 12:0.0 13:0.310281541333 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.301294906609 25:0.0 26:0.0 27:0.0 28:0.0 29:0.674931746213 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.099503719021 64:0.99503719021 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.700693740245 70:0.713462180064 71:1.0
1.5 qid:4 1:0.0 2:0.270605617902 3:0.30949398933 4:0.0 5:0.0 6:0.0 7:0.265049365073 8:0.0 9:0.0 10:0.230478014658 11:0.0 12:0.270135707513 13:0.546888163367 14:0.0 15:0.0 16:0.0 17:0.303698413165 18:0.28329491458 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.177016242946 25:0.0 26:0.0 27:0.0 28:0.362948123297 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0416305447122 64:0.999133073092 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.702577710567 70:0.711607026816 71:1.0
4.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.319760093989 8:0.517078279538 9:0.0 10:0.278052624685 11:0.0 12:0.0 13:0.2199250826 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.517078279538 20:0.0 21:0.0 22:0.0 23:0.0 24:0.213555427558 25:0.0 26:0.0 27:0.0 28:0.437866832794 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0554700196225 64:0.998460353205 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.706743706655 70:0.707469669388 71:1.0
3.5 qid:4 1:0.0 2:0.0 3:0.0 4:0.178966113301 5:0.0 6:0.0 7:0.201182368221 8:0.325328378333 9:0.0 10:0.349882843892 11:0.0 12:0.205043092118 13:0.276739028917 14:0.229656070119 15:0.0 16:0.0 17:0.0 18:0.215031421805 19:0.325328378333 20:0.0 21:0.0 22:0.0 23:0.0 24:0.268723880623 25:0.0 26:0.0 27:0.0 28:0.550982364859 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0199960011996 64:0.99980005998 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.682763307052 70:0.730639628369 71:1.0
2.0 qid:4 1:0.0 2:0.115797759457 3:0.132438900595 4:0.201790632697 5:0.0 6:0.161027839515 7:0.113420123569 8:0.0 9:0.389602271491 10:0.295878975926 11:0.0 12:0.11559667505 13:0.390041323375 14:0.129472677361 15:0.0 16:0.416548841159 17:0.0 18:0.121227772832 19:0.366819271464 20:0.0 21:0.0 22:0.0 23:0.0 24:0.227246771294 25:0.0 26:0.0 27:0.201551744988 28:0.15531303379 29:0.169685422052 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00447209123431 64:0.894418246862 65:0.0 66:0.447209123431 67:0.998617829333 68:0.0525588331228 69:0.752950562858 70:0.658077085068 71:1.0
